Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6713634,"Live Free or Die (Troy Rising, #1)",John Ringo,"Ringo, John",,"=""1439133328""","=""9781439133323""",0,Baen,Hardcover,404,2010,2010,,2011/10/08,to-read,to-read (#66),to-read,,,,0,0
3485562,"Alcatraz Versus the Scrivener's Bones (Alcatraz vs. the Evil Librarians, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0439925533""","=""9780439925532""",0,Scholastic Press,Hardcover,322,2008,2008,,2011/10/08,to-read,to-read (#65),to-read,,,,0,0
5056084,"Wings (Wings, #1)",Aprilynne Pike,"Pike, Aprilynne",,"=""0061668036""","=""9780061668036""",0,HarperTeen,Hardcover,290,2009,2009,,2011/10/08,to-read,to-read (#64),to-read,,,,0,0
11045423,"Scholar (Imager Portfolio, #4)",L.E. Modesitt Jr.,"Jr., L.E. Modesitt",,"=""""","=""9780765329554""",0,Tor Books,Hardcover,508,2011,2011,,2011/10/08,to-read,to-read (#63),to-read,,,,0,0
4643301,"Imager (Imager Portfolio, #1)",L.E. Modesitt Jr.,"Jr., L.E. Modesitt",,"=""0765320347""","=""9780765320346""",0,Tor Books,Hardcover,432,2009,2009,,2011/10/08,to-read,to-read (#62),to-read,,,,0,0
6326738,Haze,L.E. Modesitt Jr.,"Jr., L.E. Modesitt",,"=""0765323028""","=""9780765323026""",0,Tor Books,Hardcover,303,2009,2009,,2011/10/08,to-read,to-read (#61),to-read,,,,0,0
7864437,"The Death Cure (The Maze Runner, #3)",James Dashner,"Dashner, James",,"=""0385738773""","=""9780385738774""",0,Delacorte Books for Young Readers,Hardcover,325,2011,2011,,2011/10/08,to-read,to-read (#60),to-read,,,,0,0
7631105,"The Scorch Trials (The Maze Runner, #2)",James Dashner,"Dashner, James",,"=""0385738757""","=""9780385738750""",0,Delacorte Press,Hardcover,362,2010,2010,,2011/10/08,to-read,to-read (#59),to-read,,,,0,0
6186357,"The Maze Runner (The Maze Runner, #1)",James Dashner,"Dashner, James",,"=""0385737947""","=""9780385737944""",0,Delacorte Press,Hardcover,384,2009,2009,,2011/10/08,to-read,to-read (#58),to-read,,,,0,0
268638,"The Mote in God's Eye (Moties, #1)",Larry Niven,"Niven, Larry",Jerry Pournelle,"=""0671741926""","=""9780671741921""",0,Pocket Books,Mass Market Paperback,560,1991,1974,,2011/10/08,to-read,to-read (#57),to-read,,,,0,0
2617434,The Hero with a Thousand Faces,Joseph Campbell,"Campbell, Joseph",,"=""1577315936""","=""9781577315933""",0,New World Library,Hardcover,418,2008,1949,,2011/10/08,to-read,to-read (#56),to-read,,,,0,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2011/10/08,to-read,to-read (#55),to-read,,,,0,0
47701,"InterWorld (InterWorld, #1)",Neil Gaiman,"Gaiman, Neil",Michael Reaves,"=""0061238961""","=""9780061238963""",0,HarperCollins,Hardcover,239,2007,2007,,2011/10/08,to-read,to-read (#54),to-read,,,,0,0
2213661,The Graveyard Book,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0060530928""","=""9780060530921""",0,HarperCollins,Hardcover,312,2008,2008,,2011/10/08,to-read,to-read (#53),to-read,,,,0,0
61903,"Shards of Honour  (Vorkosigan Saga, #1)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""0743468422""","=""9780743468428""",0,Earthlight,Paperback,253,2003,1986,,2011/10/08,to-read,to-read (#52),to-read,,,,0,0
61904,"Paladin of Souls (World of the Five Gods, #2)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""0380818612""","=""9780380818617""",0,HarperTorch,Paperback,470,2005,2003,,2011/10/08,to-read,to-read (#51),to-read,,,,0,0
61886,"The Curse of Chalion (World of the Five Gods, #1)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""0007133618""","=""9780007133611""",0,Voyager,Paperback,490,2003,2001,,2011/10/08,to-read,to-read (#50),to-read,,,,0,0
61887,"The Hallowed Hunt (World of the Five Gods, #3)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""0060574747""","=""9780060574741""",0,Eos,Mass Market Paperback,423,2006,2005,,2011/10/08,to-read,to-read (#49),to-read,,,,0,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",5,Tor Books,Hardcover,1007,2010,2010,,2011/07/16,,,read,"This book was unbelievable and reads like an epic set in a fascinating world with realistic, sympathetic characters.  I absolutely loved it!!  Date of second reading -- October 3, 2011",,,2,1
12007319,On the Use and Abuse of History for Life,Friedrich Nietzsche,"Nietzsche, Friedrich","Ian Crowe, Ian C. Johnston","=""""","=""""",2,,Kindle Edition,68,,1874,2009/04/17,2011/07/14,,,read,"**This book is not the same edition that I read. The date finished reading is an approximation.  A very strange book that will ruin one's brain just trying to understand a few sentences.  Yet, an interesting read nevertheless.  Nietzsche is very convoluted.  Studying him in politics was very entertaining and more than a bit disturbing at times.",,,1,0
8253920,"Towers of Midnight (Wheel of Time, #13)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,"=""0765325942""","=""9780765325945""",5,Tom Doherty Associates TOR Fantasy,Hardcover,863,2010,2010,2011/04/13,2011/07/15,,,read,**I read this edition and listened to the CD version both.,,,1,0
